Biome,Year,Area
Barren,-0,47987.150557240755
Barren,1000,30581.893979999106
Barren,2000,30581.893979999106
Barren,3000,30581.893979999106
Barren,4000,30581.893979999106
Barren,5000,30581.893979999106
Barren,6000,30581.893979999106
Barren,7000,30581.893979999106
Barren,8000,30581.893979999106
Barren,9000,30581.893979999106
Barren,10000,30581.893979999106
Barren,11000,30581.893979999106
Barren,12000,30581.893979999106
Barren,13000,30581.893979999106
Barren,14000,30581.893979999106
Barren,15000,30581.893979999106
Barren,16000,30581.893979999106
Barren,17000,33581.84382503911
Barren,18000,53677.632574822936
Barren,19000,78699.80214093818
Barren,20000,64999.25335481859
Barren,21000,69524.60535098684
Cool conifer forest,14000,13818.27509091167
Cool conifer forest,15000,11662.474304960297
Cool conifer forest,16000,27327.190033144387
Cool mixed forest,16000,3880.914318738749
Cushion forb lichen moss tundra,11000,1781.7423106289764
Cushion forb lichen moss tundra,12000,1781.7423106289764
Cushion forb lichen moss tundra,13000,1781.7423106289764
Cushion forb lichen moss tundra,14000,4781.6921556689795
Cushion forb lichen moss tundra,15000,21195.888110691085
Cushion forb lichen moss tundra,16000,37899.89474383414
Cushion forb lichen moss tundra,17000,37590.94532290901
Cushion forb lichen moss tundra,18000,34899.94489879414
Cushion forb lichen moss tundra,19000,34899.94489879414
Cushion forb lichen moss tundra,20000,34899.94489879414
Cushion forb lichen moss tundra,21000,37590.94532290901
Deciduous taiga/montane forest,-0,5635.481965537145
Deciduous taiga/montane forest,1000,8401.085984224888
Deciduous taiga/montane forest,2000,2774.8452746228595
Deciduous taiga/montane forest,3000,5571.773236766408
Deciduous taiga/montane forest,4000,5582.9197386553415
Deciduous taiga/montane forest,5000,5336.163877301171
Deciduous taiga/montane forest,17000,4412.721781801916
Deciduous taiga/montane forest,18000,7380.534543204807
Deciduous taiga/montane forest,21000,1930.145453203323
Desert,-0,932863.839742827
Desert,1000,954199.6996274428
Desert,2000,998032.361233023
Desert,3000,968943.449763067
Desert,4000,1033233.6726177034
Desert,5000,956677.7386173519
Desert,6000,1015849.241693202
Desert,7000,1007149.3273787404
Desert,8000,1053384.1854965365
Desert,9000,1051314.8713983945
Desert,10000,1044613.1168500416
Desert,11000,953794.6661172687
Desert,12000,1038496.0979113574
Desert,13000,1070443.7031788093
Desert,14000,1025378.735752036
Desert,15000,988273.2379221496
Desert,16000,1010748.877124476
Desert,17000,1116407.700719753
Desert,18000,1165175.9442883553
Desert,19000,1094340.1345431132
Desert,20000,1198151.6137527348
